,index,PNW
0,0,56241.08842439987
1,1,58082.64370129694
2,2,61081.733979520126
3,3,58162.188519524934
4,4,45288.51484324338
5,5,47621.89224943926
6,6,43402.066867737594
7,7,37619.050518226344
8,8,36832.549882310035
9,9,38456.75205529004
10,10,39029.02911657645
11,11,51067.47972732628
12,12,65463.95430816346
13,13,94019.66772681463
14,14,117690.04378602369
15,15,125622.79150057313
16,16,149763.32159914044
17,17,146793.73656238103
18,18,142157.6277404983
19,19,132244.6878264737
20,20,120253.25685757952
21,21,112292.64777605071
22,22,111004.36485084833
23,23,102639.8953908328
24,24,106373.91423987105
25,25,109740.26084615113
26,26,94705.39702769753
27,27,92050.77528279735
28,28,92719.34040009284
29,29,92814.32560313705
30,30,93794.7268064045
31,31,91693.87768058306
32,32,79112.55622976655
33,33,73343.11934927627
34,34,70946.61250273764
35,35,74108.00950526581
36,36,71358.08423414559
37,37,70277.69530131028
38,38,62835.904337533764
39,39,62547.13710597699
40,40,71929.36719082831
41,41,78350.48601560245
42,42,75289.9004633938
43,43,82638.74037126484
44,44,79360.21620492931
45,45,80809.84835768882
46,46,84097.4942717641
47,47,80624.37865597673
48,48,81163.96854937
49,49,81599.51841844447
50,50,80859.77910989797
51,51,76762.15906866873
52,52,82075.04869852916
53,53,82522.45513641907
54,54,82166.48624312464
55,55,84444.71127809596
56,56,92291.38346740813
57,57,91794.67019980295
58,58,92768.21868374813
59,59,115821.47261729973
60,60,99751.13672021753
61,61,96184.52621208955
62,62,92566.03755916512
63,63,83359.21297915134
64,64,82725.51820934154
65,65,80789.07811306028
66,66,75682.57978079001
67,67,74057.4315291105
68,68,83186.95200720278
69,69,97523.8281749761
70,70,89814.45416701358
71,71,91501.52559821763
72,72,83745.58078768916
73,73,79935.47723083984
74,74,77949.48082674174
75,75,85046.41799360901
76,76,88479.56817373057
77,77,83435.05996197104
78,78,81959.26495275856
79,79,85577.8319255606
80,80,84273.94276601746
81,81,87297.17956093742
82,82,81772.51074724366
83,83,62481.275378514285
84,84,70422.71429646896
85,85,72307.07851738483
86,86,70897.96963455246
87,87,66918.21874355593
88,88,66478.23441948477
89,89,61387.723375295405
90,90,42341.06783353523
91,91,64686.028897331795
92,92,63569.15630143674
93,93,62691.327172072924
94,94,72872.67325834071
95,95,76167.68832868917
96,96,78564.38116995654
97,97,75947.38444787293
98,98,74512.228627261
99,99,76626.67349401255
100,100,76772.34982543798
101,101,90213.53406476704
102,102,103066.70711579491
103,103,110049.88974265402
104,104,111157.7201257713
105,105,96685.98633950713
106,106,107466.53974950947
107,107,101312.37243618557
108,108,90963.50475655444
109,109,82115.32575188228
110,110,72177.35349251147
111,111,75763.6706261248
112,112,79759.54979641238
113,113,83256.00740172584
114,114,75714.1302224258
115,115,77121.57100730547
116,116,83332.70695175485
117,117,93932.15939569808
118,118,96820.13329625828
119,119,99362.42950661504
120,120,12577.356430380678
121,121,18891.07600160659
122,122,19448.37873759403
123,123,26959.524280126323
124,124,31725.365091054002
125,125,36802.923870003215
126,126,38414.986303762766
127,127,42066.1634272558
128,128,42653.17300313353
129,129,35369.21333067413
130,130,31144.715344345153
131,131,26034.595529710903
132,132,29123.927907013902
133,133,45731.67128354029
134,134,74001.63804298869
135,135,95032.5643481851
136,136,112234.01568394534
137,137,180239.78240796097
138,138,181612.56681456463
139,139,199808.28227659903
140,140,190169.7240698632
141,141,187619.31492754281
142,142,152033.6652507458
143,143,169803.88185664432
144,144,157202.12123252684
145,145,184167.25319712734
146,146,154070.0143140809
147,147,164948.35115382116
148,148,119218.25165688703
149,149,144202.3610873563
150,150,147571.57424068233
151,151,199909.2328897434
152,152,197239.19951886972
153,153,202802.99144914572
154,154,192273.5647544284
155,155,194364.3903012058
156,156,194116.10713661177
157,157,210084.7139367521
158,158,221268.44472389904
159,159,218532.07534886466
160,160,215564.286398062
161,161,209435.1064591823
162,162,193000.55629720632
163,163,188375.65700524082
164,164,190769.39542167808
165,165,200979.11121508753
166,166,194609.13492743258
167,167,197376.2717268821
168,168,187049.08663750763
169,169,178877.4886043106
170,170,169370.97658080317
171,171,169470.88083027294
172,172,181817.77815718137
173,173,207368.72629422162
174,174,215760.47345932177
175,175,221843.8634928773
176,176,215178.22573906195
177,177,215688.32002468567
178,178,208415.80089124123
179,179,209177.23467988073
180,180,203415.8325572446
181,181,196403.04962763243
182,182,171795.72060470548
183,183,166745.29585110478
184,184,167616.3749694985
185,185,169464.53989120238
186,186,154859.9479982596
187,187,145875.17735214796
188,188,134706.9403365922
189,189,128776.33012116987
190,190,136865.77189617846
191,191,141343.2293874218
192,192,138970.52367162294
193,193,133492.0906236645
194,194,133943.5765402307
195,195,131091.72761409415
196,196,135005.2798830157
197,197,141295.81088477472
198,198,130068.38951691838
199,199,126290.81449011684
200,200,120660.73678522863
201,201,124277.4103694044
202,202,128063.40618163484
203,203,124400.96777709125
204,204,116093.65802524013
205,205,109788.35017780052
206,206,106099.50272994133
207,207,102288.2799588493
208,208,103797.91737449082
209,209,103002.19055015662
210,210,102783.38328952156
211,211,102800.81081419249
212,212,104525.20081584767
213,213,71785.07409075252
214,214,66964.37991642623
215,215,67720.17542282215
216,216,66235.44133595159
217,217,69876.37697494311
218,218,61264.660702860274
219,219,59659.812004181906
220,220,59242.9421169117
221,221,58905.323974893035
222,222,62863.06530252757
223,223,59211.68321624458
224,224,54333.468782178825
225,225,53249.57459841402
226,226,58721.49440833142
227,227,61714.93368217103
228,228,55287.489733810085
229,229,56097.05918542211
230,230,47367.92324844249
231,231,41856.79114260033
