,CAISO
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,963.9864930584384
8,4048.5580669082547
9,6152.474793352801
10,6596.964242601648
11,6499.732175578463
12,6513.622470867489
13,6285.821628127455
14,4894.0140401670005
15,2334.4956282423855
16,333.3670869366358
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,917.5037708680386
32,3329.201435791415
33,4594.019387129743
34,5088.988526676975
35,5421.444346485435
36,5359.224961214019
37,5224.571067716179
38,4617.2355756638535
39,2897.3803290569635
40,452.2513526444684
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,537.5645346519224
56,2301.0971423607666
57,4032.536345015764
58,4546.030825877302
59,5142.96815987884
60,5666.090662256531
61,5314.667876916917
62,4469.006653748072
63,2691.0320137649965
64,447.7030005011533
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,754.6367555500647
80,2609.785446277307
81,4111.198157840457
82,4645.732526355086
83,5102.96903275608
84,5108.209565780734
85,4522.580000275735
86,4205.527752284215
87,1763.439362795811
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,521.9051029137432
104,2346.1934565636057
105,4176.827161008772
106,5361.8214220317695
107,5734.610781255873
108,6037.601281731632
109,5747.301482846479
110,5272.986510897516
111,3508.9789898030403
112,672.6071843022102
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,663.3026183251146
128,2248.9892457730875
129,3803.4775905595525
130,4940.180237096251
131,5701.14704462261
132,5374.243300212892
133,5253.519510783576
134,4511.54296226857
135,2748.1617683572226
136,617.1834178689716
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,873.9139185597026
152,3809.1601097072535
153,6011.813034552898
154,6502.3743791719135
155,6905.219456872297
156,6750.903802108037
157,6846.7419455932095
158,6109.275553351378
159,3753.9313490547815
160,1.6243753133079974
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,915.8461213617197
176,3489.717779070596
177,5842.410140922885
178,6609.16503322572
179,6378.155546442173
180,6184.828458211971
181,5609.762288984845
182,4498.95071423843
183,2578.786753172356
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,921.4793355826527
200,3511.182441486673
201,5878.34581518379
202,6649.816886834384
203,6417.3864998627305
204,6222.87028948929
205,5644.266985751347
206,4526.622997334462
207,2594.648433286395
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,906.3865126325823
224,3453.673116113417
225,5782.064944629316
226,6540.900164507758
227,6312.276732877714
228,6120.946485130585
229,5551.8200702217555
230,4452.481867064526
231,2552.150931813388
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,768.7166948655158
248,3313.0606849133496
249,5310.641391993458
250,6264.770388261395
251,6570.633016852252
252,6490.783923547559
253,6378.453843135873
254,5525.827931577291
255,3520.126977720434
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,664.7834003422269
272,2254.0099749844826
273,3811.968618731297
274,4951.20888353045
275,5713.874502327974
276,5386.240965553993
277,5265.247667741195
278,4521.614702532202
279,2754.296869311557
280,618.5612416272254
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,160.0959786301222
296,824.7641146282139
297,1331.1351032167463
298,1933.743562105409
299,2276.420909622693
300,2529.1566961118183
301,2204.467660800166
302,1894.1692752530191
303,997.4519118022782
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,122.06343568596743
320,627.948563584477
321,844.9502270261969
322,1561.0557163838726
323,1860.7892640127482
324,1657.3502045361358
325,1136.546212276008
326,832.7438834576002
327,474.69113877876225
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,117.15426623619726
344,549.6671862402715
345,1248.9086872349333
346,1199.5417951731392
347,831.1321529209466
348,1087.5452639284729
349,1327.7483506769024
350,1580.4773652619065
351,898.9195270953501
352,277.04405097364884
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,527.1724254329691
368,2369.872392751858
369,4218.981751261422
370,5415.935556119865
371,5792.487288571986
372,6098.535717926689
373,5805.306070953335
374,5326.204079450424
375,3544.3933284429418
376,679.395466211486
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,863.1070658726463
392,3236.9902360592655
393,4608.205857194459
394,5395.435378814565
395,5242.325334162117
396,5185.417175972712
397,5543.125598877546
398,4906.296209615154
399,2816.9538303755603
400,537.9175905046164
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,905.0701847187361
416,3602.438853513105
417,5589.376086990616
418,6387.39495953832
419,6564.19182357836
420,6627.44941713397
421,6612.851510928829
422,5886.200179828482
423,4011.180227257051
424,947.2419137558096
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,708.4842290541527
440,2942.560356369078
441,4826.447482595452
442,5410.0958177430375
443,5517.098012520095
444,5791.0884809643785
445,5896.469430366026
